speaker,text,start,end,conv_id,act,topic
2-jaemin2119,위치 느리거든?,100.0,720.0,0,0,0
2-jaemin2119,앞에 잡아놔도 돼,1900.0,2620.0,0,0,0
2-jaemin2119,아 개 아픈데?,5560.0,6120.0,0,0,0
1-hye0k_su,어 뭐야?,11060.0,11840.0,0,0,0
1-hye0k_su,정신병자 같.. 인줄 알았네.,23220.0,25040.0,0,0,0
3-daving64,좀 밀리긴 한다.,24400.0,24920.0,0,0,0
2-jaemin2119,아 나 뒤지게 아픈데?,25560.0,26380.0,0,0,0
4-12_1212_,오리아나 망했는데?,27960.0,28820.0,0,0,0
3-daving64,한 턴 밀리자.,29760.0,30220.0,0,0,0
2-jaemin2119,나 라인 못 치긴 한다,34460.0,35480.0,0,0,0
4-12_1212_,오리아나 집 갈듯?,34540.0,35320.0,0,0,0
2-jaemin2119,이거 봐야될 듯?,35540.0,39040.0,0,0,0
1-hye0k_su,확인.,39680.0,39900.0,0,0,0
1-hye0k_su,나 좀 실수하긴 했다.,41260.0,42460.0,0,0,0
4-12_1212_,집 안 가네.,42720.0,43180.0,0,0,0
3-daving64,Q 3초.,43660.0,43980.0,0,0,0
1-hye0k_su,바위도 내리는다?,47780.0,48540.0,0,0,0
2-jaemin2119,우리 2렙?,48540.0,48820.0,0,0,0
1-hye0k_su,나 턴 좀 느리다.,49540.0,50220.0,0,0,0
4-12_1212_,다이너믹 주도권 잡긴 하는데 계속. 근데 미드 주도권 없어서 쌍바 먹여줄 수 있긴 해.,51560.0,133920.0,0,0,0
2-jaemin2119,잡아봐도 돼?,51760.0,54280.0,0,0,0
2-jaemin2119,나 여기까지?,54660.0,55000.0,0,0,0
2-jaemin2119,나 힐 있어?,64060.0,64480.00000000001,0,0,0
1-hye0k_su,정말 이렇게 빡세네.,65940.0,67260.0,0,0,0
2-jaemin2119,방패 3초?,66020.0,66480.0,0,0,0
2-jaemin2119,그래 빠졌고 라인 걸어놓자 이거 나 방패 빠졌고 방패 15초야,74360.0,92900.0,0,0,0
1-hye0k_su,바위가 강가 먼저 나가면? 응. 어..,76060.0,105460.0,0,0,0
3-daving64,맥사이 나올 때 나갈게.,79080.0,102560.0,0,0,0
2-jaemin2119,그렇게 와드 점프 부시에 썼을 듯?,98520.0,108160.0,0,0,0
1-hye0k_su,승패가 너무 느려야지.,107380.0,109660.0,0,0,0
2-jaemin2119,바이 있는 거 생각해?,108240.0,108820.0,0,0,0
1-hye0k_su,아니?,109700.0,109820.0,0,0,0
5-jongseok7,아이..,111400.0,111520.0,0,0,0
5-jongseok7,다시 올리나?,111740.0,112280.0,0,0,0
3-daving64,우리 세게 나가자.,116240.0,116780.0,0,0,0
1-hye0k_su,아 맞다.,119860.0,120020.0,0,0,0
1-hye0k_su,따윈 보자.,120060.0,120420.0,0,0,0
1-hye0k_su,이거 웨이브 쌓아서 다음에 봐와볼래?,120480.0,122400.0,0,0,0
2-jaemin2119,살짝 간 봄 바이 미드 바이 미드 살짝 봐도 되고 지금 이 라인 박는 게 낫긴 해 라인하자.,121140.0,158420.0,0,0,0
5-jongseok7,어..,124340.0,124360.0,0,0,0
1-hye0k_su,오케이.,127480.0,127640.0,0,0,0
1-hye0k_su,나 어이치 시키긴 했을듯?,131120.0,132040.0,0,0,0
1-hye0k_su,나 바로 2-2하고 펼 봐갈게.,133640.0,134840.0,0,0,0
4-12_1212_,올린다 바이.,133980.0,134440.0,0,0,0
1-hye0k_su,가자.,135760.0,135900.0,0,0,0
4-12_1212_,오리아나 미드 테리라서 못 간다.,137500.0,138860.0,0,0,0
1-hye0k_su,나 죽게 했다.,140560.0,141140.0,0,0,0
1-hye0k_su,괜찮아?,141180.0,141760.0,0,0,0
1-hye0k_su,노 스펠?,142460.0,142720.0,0,0,0
1-hye0k_su,칼부로 들어올 만?,143840.0,144540.0,0,0,0
1-hye0k_su,애매하면 안 해도 되긴 해.,144660.0,180580.0,0,0,0
2-jaemin2119,저거 못 잡을 듯.,158480.0,173280.0,0,0,0
4-12_1212_,바이 보인 것 같아.,160500.0,162040.0,0,0,0
3-daving64,우리 끊기면 한다.,170360.0,171780.0,0,0,0
3-daving64,얘 3 나오면 죽이면 돼.,172020.0,173020.0,0,0,0
2-jaemin2119,스왑 볼 수는 있고 상대.,173340.0,174320.0,0,0,0
3-daving64,E로 끊을 만도?,174780.0,175400.0,0,0,0
5-jongseok7,암베사 짚.,176060.0,176600.0,0,0,0
3-daving64,내가 끊긴다.,176260.0,176780.0,0,0,0
2-jaemin2119,코르키 일자 띨 만해.,176700.0,177560.0,0,0,0
2-jaemin2119,끊기면 보자 이거.,177600.0,181760.0,0,0,0
5-jongseok7,오케이.,184100.0,184320.0,0,0,0
5-jongseok7,암베사 지텔 할 듯?,185140.0,189300.0,0,0,0
3-daving64,은미네.,189040.0,189280.0,0,0,0
5-jongseok7,이걸 이렇게.. 아니 없어. 와..,189360.0,332960.0,0,0,0
2-jaemin2119,코르키 바텀이야.,189620.0,190220.0,0,0,0
4-12_1212_,오리 위에다 와드 박아서 아래에 시야 없을 수도 있거든?,192400.0,194700.0,0,0,0
2-jaemin2119,노틸 노스펠.,193260.0,194020.0,0,0,0
1-hye0k_su,아 이치 갔다가 위드?,193900.0,195140.0,0,0,0
1-hye0k_su,아 칼부로 들어갈 생각은 하지 않아.,195220.0,204140.0,0,0,0
4-12_1212_,아 렛이 없을까?,195800.0,196460.0,0,0,0
2-jaemin2119,미드 쪽 내가 먼저 나가고. 음..,199580.0,212060.0,0,0,0
1-hye0k_su,나 이것만 봐줘.,204780.0,205320.0,0,0,0
1-hye0k_su,바위는 여깄긴 할 듯?,207900.0,235100.0,0,0,0
3-daving64,얘네 서브 가능은 하다?,210940.0,213020.0,0,0,0
4-12_1212_,오리아나 또 집 가야되긴 해 플래시 교환할 생각만 한다 오리아나랑 어 미드 서로 노플 어 그래야될 듯 나 이거 무타 먹으면 6렙이네,211700.0,230500.0,0,0,0
2-jaemin2119,나 뒤봐줄게.,212140.0,212880.0,0,0,0
3-daving64,얘네 서브는 가능하다?,218440.0,219200.0,0,0,0
3-daving64,탑 인지해?,219420.0,219880.0,0,0,0
2-jaemin2119,나 몸 뜨면서 할래 그냥? 노틸 뒤봐주긴 할 거야.,220140.0,222760.0,0,0,0
3-daving64,이러면 안 하듯.,222100.0,222700.0,0,0,0
3-daving64,이거 라인 리드할게.,222740.0,229120.0,0,0,0
2-jaemin2119,안 됐다.,229600.0,229880.0,0,0,0
2-jaemin2119,내가 하나 같이 먹었는데.,230080.0,231140.0,0,0,0
4-12_1212_,그냥 난 생다이브 될듯 어 안되네,230540.0,235440.0,0,0,0
2-jaemin2119,안 될 듯.,233300.0,233680.0,0,0,0
1-hye0k_su,미드 유지되면 그냥 영웅 쳐도 될 것 같은데?,235200.0,251300.0,0,0,0
2-jaemin2119,이거 와드 넣어.,240060.0,240560.0,0,0,0
2-jaemin2119,노플이긴 해.,244200.0,244680.0,0,0,0
4-12_1212_,잡긴 할 것 같은데 잡은 것 같긴 해,248340.0,253580.0,0,0,0
1-hye0k_su,바위 나올 만 하다?,251380.0,251980.0,0,0,0
2-jaemin2119,뒤에 노틸.,251640.0,252040.0,0,0,0
2-jaemin2119,뒤에 노틸.,252100.0,252480.0,0,0,0
2-jaemin2119,노틸 마공점이야.,253340.0,254000.0,0,0,0
4-12_1212_,어?,255760.0,255780.0,0,0,0
